"Polynomial Degree","a","b"
220,"{-2.232404, 2.232404}","{0. - 1.*I, 0. + 1.*I}"
221,"{-2.232421}","{}"
222,"{-2.232438, 2.232438}","{}"
223,"{-2.232454}","{}"
224,"{-2.23247, 2.23247}","{0. - 1.*I, 0. + 1.*I}"
225,"{-2.232486}","{}"
226,"{-2.232502, 2.232502}","{}"
227,"{-2.232518}","{}"
228,"{-2.232533, 2.232533}","{0. - 1.*I, 0. + 1.*I}"
229,"{-2.232549}","{}"
230,"{-2.232564, 2.232564}","{}"
231,"{-2.232579}","{}"
232,"{-2.232594, 2.232594}","{0. - 1.*I, 0. + 1.*I}"
233,"{-2.232609}","{}"
234,"{-2.232624, 2.232624}","{}"
235,"{-2.232639}","{}"
236,"{-2.232653, 2.232653}","{0. - 1.*I, 0. + 1.*I}"
237,"{-2.232668}","{}"
238,"{-2.232682, 2.232682}","{}"
239,"{-2.232696}","{}"
240,"{-2.23271, 2.23271}","{0. - 1.*I, 0. + 1.*I}"
241,"{-2.232724}","{}"
242,"{-2.232738, 2.232738}","{}"
243,"{-2.232752}","{}"
244,"{-2.232765, 2.232765}","{0. - 1.*I, 0. + 1.*I}"
245,"{-2.232779}","{}"
246,"{-2.232792, 2.232792}","{}"
247,"{-2.232806}","{}"
248,"{-2.232819, 2.232819}","{0. - 1.*I, 0. + 1.*I}"
249,"{-2.232832}","{}"
250,"{-2.232845, 2.232845}","{}"
251,"{-2.232858}","{}"
252,"{-2.23287, 2.23287}","{0. - 1.*I, 0. + 1.*I}"
253,"{-2.232883}","{}"
254,"{-2.232896, 2.232896}","{}"
255,"{-2.232908}","{}"
256,"{-2.23292, 2.23292}","{0. - 1.*I, 0. + 1.*I}"
257,"{-2.232933}","{}"
258,"{-2.232945, 2.232945}","{}"
259,"{-2.232957}","{}"
260,"{-2.232969, 2.232969}","{0. - 1.*I, 0. + 1.*I}"
261,"{-2.232981}","{}"
262,"{-2.232993, 2.232993}","{}"
263,"{-2.233004}","{}"
264,"{-2.233016, 2.233016}","{0. - 1.*I, 0. + 1.*I}"
265,"{-2.233027}","{}"
266,"{-2.233039, 2.233039}","{}"
267,"{-2.23305}","{}"
268,"{-2.233061, 2.233061}","{0. - 1.*I, 0. + 1.*I}"
269,"{-2.233073}","{}"
270,"{-2.233084, 2.233084}","{}"
271,"{-2.233095}","{}"
272,"{-2.233106, 2.233106}","{0. - 1.*I, 0. + 1.*I}"
273,"{-2.233117}","{}"
274,"{-2.233127, 2.233127}","{}"
275,"{-2.233138}","{}"
276,"{-2.233149, 2.233149}","{0. - 1.*I, 0. + 1.*I}"
277,"{-2.233159}","{}"
278,"{-2.23317, 2.23317}","{}"
279,"{-2.23318}","{}"
280,"{-2.23319, 2.23319}","{0. - 1.*I, 0. + 1.*I}"
281,"{-2.233201}","{}"
282,"{-2.233211, 2.233211}","{}"
283,"{-2.233221}","{}"
284,"{-2.233231, 2.233231}","{0. - 1.*I, 0. + 1.*I}"
285,"{-2.233241}","{}"
286,"{-2.233251, 2.233251}","{}"
287,"{-2.233261}","{}"
288,"{-2.233271, 2.233271}","{0. - 1.*I, 0. + 1.*I}"
289,"{-2.23328}","{}"
290,"{-2.23329, 2.23329}","{}"
291,"{-2.233299}","{}"
292,"{-2.233309, 2.233309}","{0. - 1.*I, 0. + 1.*I}"
293,"{-2.233318}","{}"
294,"{-2.233328, 2.233328}","{}"
295,"{-2.233337}","{}"
296,"{-2.233346, 2.233346}","{0. - 1.*I, 0. + 1.*I}"
297,"{-2.233355}","{}"
298,"{-2.233364, 2.233364}","{}"
299,"{-2.233374}","{}"
300,"{-2.233383, 2.233383}","{0. - 1.*I, 0. + 1.*I}"
301,"{-2.233391}","{}"
302,"{-2.2334, 2.2334}","{}"
303,"{-2.233409}","{}"
304,"{-2.233418, 2.233418}","{0. - 1.*I, 0. + 1.*I}"
305,"{-2.233427}","{}"
306,"{-2.233435, 2.233435}","{}"
307,"{-2.233444}","{}"
308,"{-2.233452, 2.233452}","{0. - 1.*I, 0. + 1.*I}"
309,"{-2.233461}","{}"
310,"{-2.233469, 2.233469}","{}"
311,"{-2.233478}","{}"
312,"{-2.233486, 2.233486}","{0. - 1.*I, 0. + 1.*I}"
313,"{-2.233494}","{}"
314,"{-2.233502, 2.233502}","{}"
315,"{-2.233511}","{}"
316,"{-2.233519, 2.233519}","{0. - 1.*I, 0. + 1.*I}"
317,"{-2.233527}","{}"
318,"{-2.233535, 2.233535}","{}"
319,"{-2.233543}","{}"
320,"{-2.233551, 2.233551}","{0. - 1.*I, 0. + 1.*I}"
321,"{-2.233558}","{}"
322,"{-2.233566, 2.233566}","{}"
323,"{-2.233574}","{}"
324,"{-2.233582, 2.233582}","{0. - 1.*I, 0. + 1.*I}"
325,"{-2.233589}","{}"
326,"{-2.233597, 2.233597}","{}"
327,"{-2.233605}","{}"
328,"{-2.233612, 2.233612}","{0. - 1.*I, 0. + 1.*I}"
329,"{-2.233619}","{}"
330,"{-2.233627, 2.233627}","{}"
331,"{-2.233634}","{}"
332,"{-2.233642, 2.233642}","{0. - 1.*I, 0. + 1.*I}"
333,"{-2.233649}","{}"
334,"{-2.233656, 2.233656}","{}"
335,"{-2.233663}","{}"
